neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365
Hyde Park,41.7879,-87.5878,Private room,90,3,212,347
Edgewater,41.9796,-87.66512,Entire home/apt,65,7,7,178
North Center,41.94342,-87.68121,Entire home/apt,198,2,59,330
West Town,41.90166,-87.68021,Entire home/apt,85,2,483,279
Logan Square,41.92918,-87.70219,Entire home/apt,202,3,598,207
Pullman,41.68843,-87.60712,Entire home/apt,100,2,299,361
Pullman,41.68954,-87.60786,Entire home/apt,50,32,45,87
Lincoln Park,41.91196,-87.63981,Entire home/apt,171,4,60,99
Pullman,41.68912,-87.60725,Entire home/apt,100,32,2,66
Lincoln Park,41.92357,-87.64947,Private room,329,2,13,159
Irving Park,41.95758,-87.7271,Private room,60,2,155,226
Near South Side,41.85923,-87.62198,Entire home/apt,170,180,39,358
West Ridge,42.0076,-87.6825,Entire home/apt,48,33,29,129
Woodlawn,41.77738,-87.60041,Private room,79,4,355,105
Hyde Park,41.79989,-87.59432,Entire home/apt,115,32,57,365
Near West Side,41.88413,-87.64315,Entire home/apt,204,32,67,326
Lincoln Park,41.93264,-87.64311,Entire home/apt,239,1,155,362
Edgewater,41.97806,-87.65676,Private room,32,30,66,82
Logan Square,41.92063,-87.68353,Entire home/apt,324,1,101,78
Avondale,41.94663,-87.70783,Entire home/apt,113,2,287,252
Bridgeport,41.82712,-87.64046,Entire home/apt,130,32,50,0
Lincoln Park,41.925961,-87.656364,Entire home/apt,64,32,41,240
Bridgeport,41.82741,-87.63934,Entire home/apt,146,32,39,0
Kenwood,41.80774,-87.59459,Private room,100,2,268,287
Lake View,41.94107,-87.65492,Entire home/apt,142,3,675,214
Lake View,41.93564,-87.6424,Entire home/apt,75,32,1,68
Near South Side,41.85487,-87.62024,Entire home/apt,200,140,14,365
Logan Square,41.92118,-87.68678,Private room,51,1,266,43
West Town,41.89821,-87.6572,Entire home/apt,179,2,195,316
Lake View,41.93338,-87.63913,Private room,75,1,143,208
West Town,41.89629,-87.65704,Entire home/apt,184,2,274,318
West Town,41.88947,-87.66933,Entire home/apt,116,32,209,124
Humboldt Park,41.88849,-87.70648,Entire home/apt,79,1,528,324
Loop,41.86765,-87.62271,Private room,119,32,38,0
Lincoln Park,41.92499,-87.65573,Entire home/apt,86,32,51,262
Logan Square,41.92518,-87.69549,Entire home/apt,53,3,645,0
Lower West Side,41.84828,-87.68021,Private room,82,2,177,349
Kenwood,41.80239,-87.60244,Private room,53,2,47,223
Lake View,41.94594,-87.65431,Private room,154,1,60,285
Lake View,41.94594,-87.65431,Shared room,34,1,399,286
Uptown,41.96978,-87.67389,Entire home/apt,230,7,17,256
Lincoln Square,41.96678,-87.6973,Entire home/apt,101,2,369,125
West Town,41.90798,-87.68158,Entire home/apt,148,7,166,0
Logan Square,41.93142,-87.69989,Entire home/apt,190,2,282,345
West Town,41.89634,-87.65608,Entire home/apt,186,2,457,316
Lincoln Square,41.96528,-87.6831,Private room,49,32,55,180
North Center,41.94272,-87.68409,Entire home/apt,225,2,97,177
Logan Square,41.92137,-87.67932,Entire home/apt,157,2,169,286
Portage Park,41.96703,-87.75087,Private room,325,2,67,87
West Town,41.88986,-87.66039,Private room,69,32,137,271
West Town,41.89001,-87.66069,Private room,90,1,157,214
Uptown,41.97303,-87.66567,Private room,110,3,250,0
West Town,41.89171,-87.66237,Shared room,69,32,67,323
Near West Side,41.88209,-87.65127,Entire home/apt,185,3,63,19
Lincoln Square,41.96316,-87.69208,Entire home/apt,90,2,239,36
West Town,41.89134,-87.66254,Private room,62,2,104,318
West Town,41.89615,-87.67934,Private room,84,3,101,197
Edgewater,41.99688,-87.66449,Private room,70,2,110,309
West Town,41.90006,-87.68096,Entire home/apt,113,28,174,90
Washington Park,41.79606,-87.62382,Private room,80,2,102,350
Lake View,41.94256,-87.67171,Entire home/apt,182,4,76,29
Lower West Side,41.85669,-87.65132,Private room,65,32,246,89
Forest Glen,41.99178,-87.75747,Private room,70,2,91,322
South Lawndale,41.85295,-87.70686,Private room,45,32,7,179
Forest Glen,41.99405,-87.75746,Private room,65,2,86,242
West Town,41.89615,-87.67934,Private room,89,3,124,121
Lake View,41.9331,-87.64919,Private room,159,14,29,8
Near North Side,41.90437,-87.6335,Entire home/apt,79,32,157,286
Near South Side,41.85226,-87.62299,Entire home/apt,120,60,16,365
Washington Park,41.7918286,-87.62436819999999,Entire home/apt,129,32,0,364
West Town,41.88999,-87.66227,Private room,62,32,136,291
West Town,41.90384,-87.66765,Entire home/apt,105,32,337,0
Lake View,41.93903,-87.65196,Entire home/apt,93,2,743,20
Hyde Park,41.79077,-87.58937,Entire home/apt,125,1,103,0
Near West Side,41.86332,-87.68177,Private room,68,2,44,87
Loop,41.88765,-87.61765,Entire home/apt,160,32,25,365
Logan Square,41.92278,-87.70422,Private room,70,32,74,363
Near South Side,41.85255,-87.62121,Entire home/apt,200,120,6,365
Grand Boulevard,41.80392,-87.6108,Entire home/apt,150,1,3,11
West Town,41.91387,-87.67182,Entire home/apt,126,1,138,184
Lincoln Square,41.9765,-87.68144,Entire home/apt,98,7,203,44
Logan Square,41.93115,-87.71836,Entire home/apt,83,32,27,201
West Ridge,42.01653,-87.68788,Shared room,128,1,139,0
Lincoln Park,41.92218,-87.66079,Private room,85,2,134,40
Uptown,41.96264,-87.67296,Private room,61,3,28,169
Lincoln Park,41.92546,-87.6573,Entire home/apt,148,2,39,258
Lake View,41.93308,-87.6511,Entire home/apt,299,32,152,236
Edgewater,41.99701,-87.66099,Entire home/apt,42,14,208,113
Near South Side,41.85361,-87.62434,Entire home/apt,130,32,16,250
Logan Square,41.92708,-87.71212,Private room,110,32,145,78
Lincoln Park,41.912410736083984,-87.63896942138672,Entire home/apt,125,3,424,42
Lake View,41.94987,-87.64611,Entire home/apt,100,1,438,251
East Garfield Park,41.88538,-87.69801,Private room,136,5,23,362
Morgan Park,41.68451,-87.67925,Entire home/apt,63,7,153,93
Kenwood,41.81076119906218,-87.6044862089418,Entire home/apt,87,2,37,341
Morgan Park,41.68451,-87.67913,Entire home/apt,76,30,146,169
Uptown,41.96705,-87.65772,Entire home/apt,285,2,108,67
Near South Side,41.85247,-87.62204,Entire home/apt,200,60,8,364
West Town,41.9055,-87.66685,Private room,50,32,133,0
West Town,41.89602,-87.65659,Entire home/apt,212,2,374,317
Lake View,41.93297,-87.65748,Entire home/apt,221,2,87,70
Near West Side,41.86801,-87.67877,Entire home/apt,133,32,41,177
Rogers Park,42.00588,-87.66853,Private room,89,2,276,337
Rogers Park,42.00477,-87.66842,Private room,79,2,302,330
Rogers Park,42.00378,-87.66807,Private room,79,2,284,346
Dunning,41.9443,-87.79831,Private room,45,32,29,334
Near South Side,41.85434,-87.62194,Entire home/apt,135,32,7,365
Near North Side,41.89098,-87.62238,Entire home/apt,155,100,5,365
West Town,41.89288,-87.68458,Entire home/apt,84,32,159,239
Rogers Park,42.00456,-87.67058,Entire home/apt,179,2,233,300
Irving Park,41.95107,-87.71005,Private room,51,2,119,105
Near North Side,41.89395,-87.62593,Entire home/apt,85,32,36,199
North Lawndale,41.85428,-87.70852,Private room,45,2,6,0
West Town,41.90026,-87.66871,Entire home/apt,178,2,205,214
Near West Side,41.88445,-87.65146,Private room,136,6,72,195
North Lawndale,41.8544,-87.70852,Private room,45,32,11,89
North Lawndale,41.85454,-87.70802,Private room,45,32,5,0
Near South Side,41.85395,-87.62468,Entire home/apt,140,28,23,361
West Lawn,41.78225,-87.72806,Private room,39,1,332,79
South Shore,41.77206,-87.56982,Entire home/apt,70,32,245,261
Uptown,41.97271,-87.65236,Entire home/apt,50,5,75,124
Logan Square,41.91571,-87.67449,Entire home/apt,78,2,437,136
Lincoln Park,41.92655,-87.64226,Entire home/apt,79,2,648,49
Loop,41.87346,-87.62843,Entire home/apt,159,3,40,12
West Town,41.90914,-87.67859,Entire home/apt,125,6,205,250
North Center,41.96136,-87.6784,Entire home/apt,160,3,126,282
Logan Square,41.91533279418945,-87.67047882080078,Entire home/apt,230,2,117,123
Rogers Park,42.00729,-87.67708,Entire home/apt,130,32,45,365
Rogers Park,42.01938,-87.67985,Entire home/apt,149,7,16,350
Near West Side,41.86967,-87.68284,Private room,103,1,118,363
Edgewater,41.98908,-87.66697,Entire home/apt,91,2,333,231
Logan Square,41.91984,-87.68962,Private room,89,3,389,218
Lake View,41.94124,-87.64941,Private room,80,1,361,249
Lake View,41.9459,-87.65461,Private room,120,32,42,224
Uptown,41.96909,-87.67407,Entire home/apt,175,4,27,237
Uptown,41.97516,-87.67227,Entire home/apt,100,32,0,0
West Ridge,42.01653,-87.68788,Shared room,19,1,179,163
Near West Side,41.88711,-87.6438,Entire home/apt,356,2,100,318
East Garfield Park,41.88367,-87.70864,Entire home/apt,113,3,112,319
Lake View,41.95418,-87.65363,Private room,75,3,48,0
Logan Square,41.9254,-87.69753,Entire home/apt,250,7,50,365
Lincoln Park,41.91175,-87.63834,Entire home/apt,169,4,86,82
Lincoln Park,41.91184,-87.63963,Entire home/apt,279,32,16,89
Lake View,41.93594,-87.66953,Entire home/apt,295,32,186,104
Edgewater,41.99632,-87.66385,Private room,65,2,61,273
Lake View,41.94159,-87.65099,Private room,75,2,171,239
Dunning,41.94418,-87.79895,Private room,35,32,6,89
Beverly,41.71554,-87.67197,Private room,51,2,199,305
Lower West Side,41.85592,-87.66249,Private room,52,2,316,110
Rogers Park,42.00146,-87.66982,Private room,55,14,40,214
West Town,41.90788,-87.68075,Private room,112,3,180,0
Rogers Park,42.01177,-87.67758,Entire home/apt,103,2,170,336
Near North Side,41.90564,-87.6294,Entire home/apt,135,160,210,364
Lake View,41.93455,-87.66141,Private room,64,4,327,181
Lincoln Park,41.92817,-87.64282,Private room,120,1,56,89
Lower West Side,41.85922,-87.64592,Entire home/apt,103,2,58,15
Hyde Park,41.79963,-87.59186,Private room,77,1,380,119
Logan Square,41.93047,-87.7196,Entire home/apt,70,32,154,365
Edgewater,41.99103,-87.66166,Private room,39,20,45,200
Uptown,41.95775,-87.64671,Entire home/apt,220,5,24,0
Grand Boulevard,41.81873,-87.61387,Entire home/apt,115,5,14,365
West Town,41.89322,-87.68572,Entire home/apt,107,2,361,135
West Town,41.89678,-87.6971,Entire home/apt,86,32,116,0
Irving Park,41.95965,-87.72016,Entire home/apt,69,32,46,51
West Ridge,41.99595,-87.67545,Entire home/apt,120,60,5,291
Near North Side,41.88853,-87.63399,Entire home/apt,170,90,14,365
Rogers Park,42.0222,-87.67226,Private room,65,3,64,315
Grand Boulevard,41.81866,-87.61644,Private room,85,2,12,356
Lake View,41.93512,-87.65749,Private room,75,2,29,72
West Town,41.8905,-87.68672,Entire home/apt,157,2,124,85
West Town,41.89103,-87.66243,Private room,80,1,115,294
Near North Side,41.89269,-87.62227,Entire home/apt,153,120,7,365
West Ridge,42.0168,-87.68771,Shared room,19,1,145,164
Bridgeport,41.83615,-87.64638,Entire home/apt,75,2,72,0
West Ridge,42.01653,-87.68788,Shared room,20,1,106,168
Lake View,41.93396,-87.65897,Entire home/apt,176,2,64,239
Humboldt Park,41.898048,-87.702972,Entire home/apt,130,2,345,93
Near North Side,41.90487,-87.62747,Entire home/apt,225,32,96,178
Loop,41.877,-87.63055,Private room,55,32,6,268
West Lawn,41.78392,-87.72921,Private room,39,1,462,314
West Ridge,42.00544,-87.68377,Private room,55,3,2,0
Uptown,41.97351,-87.66574,Entire home/apt,141,4,48,2
Lower West Side,41.84801,-87.68127,Private room,82,2,141,267
Lake View,41.94747,-87.65417,Entire home/apt,279,1,16,251
North Center,41.94614,-87.68242,Entire home/apt,184,1,31,356
Lake View,41.95518,-87.66999,Private room,100,3,34,218
Uptown,41.97183,-87.66786,Private room,185,3,6,78
Near North Side,41.89637,-87.62726,Entire home/apt,93,32,37,291
Near North Side,41.89874,-87.61862,Entire home/apt,110,32,1,0
Uptown,41.97106,-87.66777,Private room,270,32,20,31
Irving Park,41.96114,-87.70514,Private room,50,25,19,229
Lake View,41.93886,-87.65391,Entire home/apt,121,2,336,246
North Center,41.94815,-87.68459,Private room,74,2,430,191
Lincoln Park,41.91374,-87.64014,Entire home/apt,211,1,164,121
Near West Side,41.88503,-87.68664,Entire home/apt,126,4,114,352
Uptown,41.95669,-87.64847,Entire home/apt,125,2,309,190
West Town,41.9011,-87.69184,Entire home/apt,135,32,3,0
Portage Park,41.95993,-87.74773,Entire home/apt,64,28,14,352
Near West Side,41.88796,-87.6445,Entire home/apt,279,32,46,90
North Center,41.94078,-87.68115,Entire home/apt,201,2,35,365
Near North Side,41.9032,-87.63664,Private room,101,2,19,0
Lake View,41.9391,-87.64573,Private room,79,32,21,0
Lake View,41.94047,-87.64578,Entire home/apt,132,32,32,0
North Center,41.95931,-87.67795,Entire home/apt,199,2,81,122
Edgewater,41.99491,-87.66146,Private room,90,1,59,0
Avondale,41.94165,-87.71665,Private room,85,32,153,0
Humboldt Park,41.908515,-87.709857,Entire home/apt,61,1,299,361
Near North Side,41.90317,-87.63392,Entire home/apt,79,30,7,26
Logan Square,41.91487,-87.70154,Private room,129,2,18,0
Dunning,41.94222259521485,-87.79497528076172,Private room,125,3,22,264
Lower West Side,41.84828,-87.68021,Private room,82,2,116,336
Logan Square,41.93021,-87.70344,Private room,150,1,1,203
Armour Square,41.85565,-87.63322,Private room,33,32,11,219
West Town,41.89302,-87.66988,Entire home/apt,85,3,235,238
Rogers Park,42.00414,-87.67272,Private room,56,2,138,346
Lincoln Square,41.96857,-87.69577,Entire home/apt,85,3,205,266
Hegewisch,41.65064,-87.54074,Entire home/apt,99,7,41,168
North Center,41.94812,-87.68333,Private room,79,2,159,183
Irving Park,41.95501,-87.73814,Private room,107,1,131,89
West Town,41.89972,-87.69722,Entire home/apt,85,32,62,166
Irving Park,41.95185,-87.70459,Entire home/apt,147,2,75,85
Near West Side,41.86156,-87.64676,Entire home/apt,150,32,25,0
West Ridge,41.98803976766943,-87.70293607521315,Private room,118,1,3,5
Irving Park,41.94664,-87.70783,Entire home/apt,70,32,88,194
Uptown,41.97147,-87.66861,Hotel room,249,32,33,46
Lake View,41.95675,-87.66715,Entire home/apt,110,2,172,72
Irving Park,41.95533,-87.73082,Entire home/apt,69,32,8,0
Lincoln Park,41.92254,-87.65146,Entire home/apt,178,2,47,0
Uptown,41.96574,-87.65747,Private room,80,1,119,118
West Town,41.8948,-87.65661,Entire home/apt,188,2,302,327
Logan Square,41.93066,-87.69724,Entire home/apt,100,2,100,287
Portage Park,41.95965,-87.74889,Entire home/apt,72,21,14,351
West Town,41.9116,-87.66693,Entire home/apt,237,32,306,151
Near North Side,41.8972,-87.63442,Entire home/apt,149,31,192,194
Edgewater,41.99424,-87.66066,Entire home/apt,90,32,5,0
West Town,41.90376,-87.69556,Entire home/apt,90,32,160,157
West Town,41.911473,-87.676601,Entire home/apt,102,1,300,316
Logan Square,41.92484,-87.72377,Entire home/apt,204,2,133,180
Lake View,41.94358,-87.66005,Entire home/apt,314,2,114,289
West Ridge,42.00651,-87.68432,Entire home/apt,82,5,28,0
Lower West Side,41.84998,-87.67714,Private room,40,3,52,199
